#네이버 부동산 매물 캐싱 데이터
articleNo,articleName,tradeType,dealOrWarrantPrc,area1,floorInfo,confirmYmd, roadAdr
2604533958,헬리오시티,매매,"31억 5,000",108,20/28,20260126, 송파대로 345
2607343774,헬리오시티,월세,6억,108,23/27,20260209, 송파대로 345
2608290959,헬리오시티,매매,31억,110,6/29,20260212, 송파대로 345
2606304027,헬리오시티,매매,"31억 5,000",108,6/29,20260205, 송파대로 345
2608485618,헬리오시티,매매,33억,110,9/25,20260212, 송파대로 345
2608502807,헬리오시티,월세,5억,110,13/35,20260212, 송파대로 345
2608482528,헬리오시티,매매,31억,110,29/29,20260212, 송파대로 345
2608458829,헬리오시티,전세,"11억 8,000",109,19/35,20260212, 송파대로 345
2608503250,헬리오시티,전세,14억,126,24/35,20260212, 송파대로 345
2608485562,헬리오시티,매매,32억,110,4/29,20260212, 송파대로 345
2608502458,헬리오시티,월세,6억,110,12/29,20260212, 송파대로 345
2608503106,헬리오시티,매매,31억,110,29/29,20260212, 송파대로 345
2608467484,헬리오시티,매매,"28억 5,000",84,2/18,20260212, 송파대로 345
2608486218,헬리오시티,월세,5억,110,13/35,20260212, 송파대로 345
2608458449,헬리오시티,전세,13억,126,4/29,20260212, 송파대로 345
2608493310,헬리오시티,전세,"17억 5,000",163,17/35,20260212, 송파대로 345
2608458904,헬리오시티,전세,12억,107,24/28,20260212, 송파대로 345
2608484562,헬리오시티,매매,"31억 5,000",110,29/29,20260212, 송파대로 345
2608475696,헬리오시티,매매,32억,110,19/29,20260212, 송파대로 345
2608458830,헬리오시티,월세,1억,107,4/13,20260212, 송파대로 345
2608475001,헬리오시티,매매,37억,130,19/29,20260212, 송파대로 345
2608475002,헬리오시티,매매,45억,150,19/29,20260212, 송파대로 345
2608475003,헬리오시티,매매,"35억 5,000",100,19/29,20260212, 송파대로 345
2608475004,헬리오시티,매매,"27억 8,000",60,19/29,20260212, 송파대로 345

2608470001,래미안트리베라1차,매매,"9억 2,000",59,3/18,20260220, 삼양로19길 25
2608470002,래미안트리베라1차,매매,"11억",84,1/16,20260212, 삼양로19길 25
2608470003,래미안트리베라1차,매매,"11억",84,5/10,20260212, 삼양로19길 25
2608470004,래미안트리베라1차,매매,"12억 2,000",114,22/24,20260221, 삼양로19길 25

2608470005,래미안아름숲,매매,"12억 1,800",59,7/9,20260220, 전농로16길 51
2608470006,래미안아름숲,매매,"15억",84,9/15,20260203, 전농로16길 51
2608470007,래미안아름숲,매매,"16억 5,000",114,10/13,20260214, 전농로16길 51

2608470008,래미안월곡,매매,"10억",59,10/19,20260221, 오패산로 90
2608470009,래미안월곡,매매,"11억 5,000",84,18/20,20260221, 오패산로 90

2608470010,꿈의숲푸르지오,매매,"9억 5,000",59,5/14,20260219, 오패산로16가길 40
2608470011,꿈의숲푸르지오,매매,"11억",84,11/13,20260129, 오패산로16가길 40
2608470012,꿈의숲푸르지오,매매,"11억 5,000",60,7/14,20260214, 오패산로16가길 40

2608470013,리센츠,매매,"19억 3,000",27,4/20,20260221, 올림픽로 135
2608470014,리센츠,매매,"32억",59,25/28,20260220, 올림픽로 135
2608470015,리센츠,매매,"37억",84,25/26,20260214, 올림픽로 135
2608470016,리센츠,매매,"40억",98,4/30,20260129, 올림픽로 135
2608470017,리센츠,매매,"53억",124,25/27,20260219, 올림픽로 135

2608470018,파크리오,매매,"17억",35,18/20,20260128, 올림픽로 435
2608470019,파크리오,매매,"31억 5,000",59,15/23,20260211, 올림픽로 435
2608470020,파크리오,매매,"33억",84,24/27,20260220, 올림픽로 435
2608470021,파크리오,매매,"40억",121,5/33,20260219, 올림픽로 435
2608470022,파크리오,매매,"40억",144,28/32,20260220, 올림픽로 435

2608470023,신촌푸르지오,매매,"9억 3,000",34,2/3,20260219, 북아현로1길 50
2608470024,신촌푸르지오,매매,"18억 7,000",59,10/17,20260221, 북아현로1길 50
2608470025,신촌푸르지오,매매,"22억 5,000",84,17/19,20260220, 북아현로1길 50
2608470026,신촌푸르지오,매매,"24억",109,14/14,20260221, 북아현로1길 50

2608470027,고척파크푸르지오,매매,"14억",84,6/11,20260219, 중앙로 121
2608470028,고척파크푸르지오,매매,"14억 3,000",114,10/12,20260211, 중앙로 121

2608470029,영등포푸르지오,매매,"15억 5,000",59,10/20,20260220, 도신로29길 28
2608470030,영등포푸르지오,매매,"17억",79,20/23,20260221, 도신로29길 28
2608470031,영등포푸르지오,매매,"18억",84,20/22,20260221, 도신로29길 28

2608470032,청계현대,매매,"13억 7,000",59,14/28,20260221, 살곶이길 50
2608470033,청계현대,매매,"15억 5,000",84,3/28,20260219, 살곶이길 50
2608470034,청계현대,매매,"17억 5,000",134,15/28,20260204, 살곶이길 50
2608470035,청계현대,매매,"20억",164,20/22,20260219, 살곶이길 50
